id,name,schulform,street,plz,stadt,traeger,standorttyp,lat,lon
35,Heinrich-Böll-Schule,Gesamtschule,Agnesstraße 33,44791,Bochum,Stadt Bochum,4,51.4960624191,7.21901674505
36,Willy-Brandt-Gesamtschule,Gesamtschule,Wittekindstraße 33,44894,Bochum,Stadt Bochum,4,51.4844076469,7.30148703417
37,Albert-Schweitzer-Schule,Hauptschule,Stiftstr. 25/29,44892,Bochum,Stadt Bochum,5,51.4680868068,7.31734265776
38,Heinrich-Kämpchen-Schule,Hauptschule,Dr.-C.-Otto-Straße 88,44879,Bochum,Stadt Bochum,4,51.4263720459,7.15066112746
39,Liselotte-Rauner-Schule,Hauptschule,Voedestr. 46-48,44866,Bochum,Stadt Bochum,5,51.4815521336,7.13974120381
40,Werner-von-Siemens-Schule,Hauptschule,Haydnstraße 3,44805,Bochum,Stadt Bochum,4,51.5053534634,7.26764538825
41,Graf-Engelbert-Schule,Gymnasium,Königsallee 77-79,44789,Bochum,Stadt Bochum,3,51.4662300159,7.21979010625
42,Heinrich-von-Kleist-Schule,Gymnasium,Heinrichstr. 2,44805,Bochum,Stadt Bochum,4,51.5158451569,7.27410270918
43,Hellweg-Schule,Gymnasium,Lohackerstr. 13,44867,Bochum,Stadt Bochum,4,51.4716365802,7.14906511483
44,Lessing-Schule,Gymnasium,Ottilienstr. 12,44892,Bochum,Stadt Bochum,3,51.4717631094,7.31575020969
45,Märkische Schule,Gymnasium,Saarlandstr. 44,44866,Bochum,Stadt Bochum,4,51.4774362951,7.13593924476
46,Schiller-Schule,Gymnasium,Waldring 71,44789,Bochum,Stadt Bochum,2,51.4640749785,7.22130117734
47,Theodor-Körner-Schule,Gymnasium,Keilstr. 42-48,44879,Bochum,Stadt Bochum,2,51.4275975455,7.15126706323
48,Anne-Frank-Schule,Realschule,Heinrichstr. 2,44805,Bochum,Stadt Bochum,4,51.5158451569,7.27410270918
49,Franz-Dinnendahl-Schule,Realschule,Lenneplatz 21,44807,Bochum,Stadt Bochum,4,51.4967418165,7.24419267001
50,Realschule Höntrop,Realschule,Höntroper Str. 99,44869,Bochum,Stadt Bochum,4,51.460671383,7.1626464071
51,Hugo-Schultz-Schule,Realschule,Dr.-C.-Otto-Straße 88,44879,Bochum,Stadt Bochum,3,51.4262279801,7.150686265
52,Nelson-Mandela-Schule,Sekundarschule,Stiftstr. 25,44892,Bochum,Stadt Bochum,5,51.4680868068,7.31734265776
53,Erich-Fried-Gesamtschule,Gesamtschule,Grabenstraße 14,44625,Herne,Stadt Herne,4,51.5354135352,7.20081240749
54,Mont-Cenis-Gesamtschule ,Gesamtschule,Mont-Cenis-Straße 180,44627,Herne,Stadt Herne,5,51.5378917841,7.24672713722
55,Hans-Tilkowski-Schule,Hauptschule,Neustraße 16,44623,Herne,Stadt Herne,5,51.5431396984,7.22553604453
56,Melanchthonschule,Hauptschule,Edmund-Weber-Straße 127,44651,Herne,Stadt Herne,5,51.5104866485,7.16803401538
57,Gymnasium Eickel,Gymnasium,Gabelsbergerstr. 22,44652,Herne,Stadt Herne,4,51.5222731363,7.16144830167
58,Haranni Gymnasium,Gymnasium,Hermann-Löns-Str. 58,44623,Herne,Stadt Herne,4,51.5422637829,7.22678102476
59,Otto-Hahn-Gymnasium,Gymnasium,Hölkeskampring 168,44625,Herne,Stadt Herne,4,51.5390223906,7.24012762753
60,Pestalozzi-Gymnasium,Gymnasium,Harpener Weg 6,44629,Herne,Stadt Herne,3,51.5441032819,7.21238616246
